20:42:53.364011 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:42:54.363206 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:42:55.360924 IP 192.168.223.1.63163 > 239.255.255.250.1900: UDP, length 173
20:43:11.299828 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 187844:189304, ack 2854, win 64240, length 1460
20:43:11.300228 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 189304, win 64240, length 0
20:43:11.300317 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 189304:190764, ack 2854, win 64240, length 1460
20:43:11.300983 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 190764:192224, ack 2854, win 64240, length 1460
20:43:11.301074 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 192224, win 64240, length 0
20:43:11.301506 IP 192.168.223.130.63987 > 192.168.223.254.144: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:11.301572 IP 192.168.223.130.63986 > 192.168.223.128.8009: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.301610 IP 192.168.223.130.63986 > 192.168.223.129.8009: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.301643 IP 192.168.223.130.63986 > 192.168.223.254.klogin: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.301749 IP 192.168.223.129.8009 > 192.168.223.130.63986: Flags [S.], seq 2435340397, ack 2465753834, win 5840, options [mss 1460], length 0
20:43:11.301879 IP 192.168.223.130.63986 > 192.168.223.129.8009: Flags [R], seq 2465753834, win 0, length 0
20:43:11.302064 IP 192.168.223.128.8009 > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:11.305501 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 192224:196604, ack 2854, win 64240, length 4380
20:43:11.305783 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 195144, win 64240, length 0
20:43:11.313220 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 196604:198064, ack 2854, win 64240, length 1460
20:43:11.313329 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 198064, win 64240, length 0
20:43:11.313619 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 198064:199524, ack 2854, win 64240, length 1460
20:43:11.314449 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 199524:202444, ack 2854, win 64240, length 2920
20:43:11.314581 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 200984, win 64240, length 0
20:43:11.315146 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 202444:203904, ack 2854, win 64240, length 1460
20:43:11.315394 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 203904, win 64240, length 0
20:43:11.315687 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 203904:205364, ack 2854, win 64240, length 1460
20:43:11.316118 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 205364:206824, ack 2854, win 64240, length 1460
20:43:11.316589 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 206824, win 64240, length 0
20:43:11.316621 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 206824:208284, ack 2854, win 64240, length 1460
20:43:11.317476 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 208284:209744, ack 2854, win 64240, length 1460
20:43:11.317609 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 209744, win 64240, length 0
20:43:11.317939 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 209744:211204, ack 2854, win 64240, length 1460
20:43:11.318430 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 211204:212664, ack 2854, win 64240, length 1460
20:43:11.318917 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 212664, win 64240, length 0
20:43:11.318954 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 212664:214124, ack 2854, win 64240, length 1460
20:43:11.319805 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 214124:215584, ack 2854, win 64240, length 1460
20:43:11.320233 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 215584, win 64240, length 0
20:43:11.325108 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 215584:217044, ack 2854, win 64240, length 1460
20:43:11.328529 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 217044:218504, ack 2854, win 64240, length 1460
20:43:11.328647 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 218504, win 64240, length 0
20:43:11.329041 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 218504:230184, ack 2854, win 64240, length 11680
20:43:11.329351 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 221424, win 64240, length 0
20:43:11.329395 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 224344, win 64240, length 0
20:43:11.329414 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 227264, win 64240, length 0
20:43:11.329431 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 230184, win 61320, length 0
20:43:11.330189 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 230184, win 64240, length 0
20:43:11.335433 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 230184:233104, ack 2854, win 64240, length 2920
20:43:11.335555 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 233104, win 64240, length 0
20:43:11.345668 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 233104:250624, ack 2854, win 64240, length 17520
20:43:11.345897 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 236024, win 64240, length 0
20:43:11.345960 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 238944, win 64240, length 0
20:43:11.345979 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 241864, win 64240, length 0
20:43:11.346008 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 244784, win 61320, length 0
20:43:11.346038 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 247704, win 58400, length 0
20:43:11.346056 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 250624, win 55480, length 0
20:43:11.346262 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 250624, win 64240, length 0
20:43:11.346345 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 250624:252084, ack 2854, win 64240, length 1460
20:43:11.347086 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 252084:253544, ack 2854, win 64240, length 1460
20:43:11.347727 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 253544:255004, ack 2854, win 64240, length 1460
20:43:11.348202 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 255004:256464, ack 2854, win 64240, length 1460
20:43:11.348693 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 256464:257924, ack 2854, win 64240, length 1460
20:43:11.349138 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 257924:259384, ack 2854, win 64240, length 1460
20:43:11.349950 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 259384:260844, ack 2854, win 64240, length 1460
20:43:11.350418 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 260844:262304, ack 2854, win 64240, length 1460
20:43:11.350909 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 262304:263764, ack 2854, win 64240, length 1460
20:43:11.351387 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 263764:265224, ack 2854, win 64240, length 1460
20:43:11.351980 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 253544, win 64240, length 0
20:43:11.352023 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 256464, win 64240, length 0
20:43:11.352041 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 259384, win 64240, length 0
20:43:11.352058 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 262304, win 61320, length 0
20:43:11.352076 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 265224, win 58400, length 0
20:43:11.352185 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 265224, win 64240, length 0
20:43:11.354554 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 265224:266684, ack 2854, win 64240, length 1460
20:43:11.355066 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 266684:271064, ack 2854, win 64240, length 4380
20:43:11.356936 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 268144, win 64240, length 0
20:43:11.356968 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 271064, win 64240, length 0
20:43:11.356991 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 271064:272524, ack 2854, win 64240, length 1460
20:43:11.357331 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 272524:273984, ack 2854, win 64240, length 1460
20:43:11.357810 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 273984:275444, ack 2854, win 64240, length 1460
20:43:11.358395 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 275444:276904, ack 2854, win 64240, length 1460
20:43:11.358929 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 276904:278364, ack 2854, win 64240, length 1460
20:43:11.359121 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 273984, win 64240, length 0
20:43:11.359170 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 276904, win 64240, length 0
20:43:11.359419 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 278364:279824, ack 2854, win 64240, length 1460
20:43:11.359883 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 279824:281284, ack 2854, win 64240, length 1460
20:43:11.360337 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 281284:282744, ack 2854, win 64240, length 1460
20:43:11.361021 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 279824, win 64240, length 0
20:43:11.361058 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 282744, win 64240, length 0
20:43:11.361305 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 282744:284204, ack 2854, win 64240, length 1460
20:43:11.361795 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 284204:285664, ack 2854, win 64240, length 1460
20:43:11.361924 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 285664, win 64240, length 0
20:43:11.362295 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 285664:287124, ack 2854, win 64240, length 1460
20:43:11.362749 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 287124:288584, ack 2854, win 64240, length 1460
20:43:11.363467 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 288584, win 64240, length 0
20:43:11.363783 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 288584:290044, ack 2854, win 64240, length 1460
20:43:11.364240 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 290044:291504, ack 2854, win 64240, length 1460
20:43:11.364758 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 291504:292964, ack 2854, win 64240, length 1460
20:43:11.365200 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 292964:294424, ack 2854, win 64240, length 1460
20:43:11.365272 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 291504, win 64240, length 0
20:43:11.365315 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 294424, win 64240, length 0
20:43:11.368678 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 294424:295884, ack 2854, win 64240, length 1460
20:43:11.369271 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 295884:297344, ack 2854, win 64240, length 1460
20:43:11.369452 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 297344, win 64240, length 0
20:43:11.369498 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 297344:298804, ack 2854, win 64240, length 1460
20:43:11.369725 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 298804:300264, ack 2854, win 64240, length 1460
20:43:11.369827 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 300264, win 64240, length 0
20:43:11.373959 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 300264:301724, ack 2854, win 64240, length 1460
20:43:11.374294 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 301724:303184, ack 2854, win 64240, length 1460
20:43:11.374395 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 303184, win 64240, length 0
20:43:11.374778 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 303184:304644, ack 2854, win 64240, length 1460
20:43:11.375246 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 304644:306104, ack 2854, win 64240, length 1460
20:43:11.375345 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 306104, win 64240, length 0
20:43:11.375928 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 306104:307564, ack 2854, win 64240, length 1460
20:43:11.376437 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 307564:309024, ack 2854, win 64240, length 1460
20:43:11.376905 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 309024:310484, ack 2854, win 64240, length 1460
20:43:11.376948 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 309024, win 64240, length 0
20:43:11.377366 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 310484:311944, ack 2854, win 64240, length 1460
20:43:11.377460 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 311944, win 64240, length 0
20:43:11.383105 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 311944:313404, ack 2854, win 64240, length 1460
20:43:11.383403 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 313404:314864, ack 2854, win 64240, length 1460
20:43:11.383512 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 314864, win 64240, length 0
20:43:11.383884 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 314864:316324, ack 2854, win 64240, length 1460
20:43:11.384363 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 316324:317784, ack 2854, win 64240, length 1460
20:43:11.384458 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 317784, win 64240, length 0
20:43:11.385085 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 317784:319244, ack 2854, win 64240, length 1460
20:43:11.385573 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 319244:320704, ack 2854, win 64240, length 1460
20:43:11.385665 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 320704, win 64240, length 0
20:43:11.386046 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 320704:322164, ack 2854, win 64240, length 1460
20:43:11.386516 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 322164:323624, ack 2854, win 64240, length 1460
20:43:11.386620 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 323624, win 64240, length 0
20:43:11.387147 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 323624:325084, ack 2854, win 64240, length 1460
20:43:11.387605 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 325084:326544, ack 2854, win 64240, length 1460
20:43:11.388092 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 326544:328004, ack 2854, win 64240, length 1460
20:43:11.388212 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 326544, win 64240, length 0
20:43:11.388671 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 328004:329464, ack 2854, win 64240, length 1460
20:43:11.388931 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 329464, win 64240, length 0
20:43:11.389433 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 329464:330924, ack 2854, win 64240, length 1460
20:43:11.390075 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 330924:332384, ack 2854, win 64240, length 1460
20:43:11.390355 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 332384:333844, ack 2854, win 64240, length 1460
20:43:11.390495 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 332384, win 64240, length 0
20:43:11.390729 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 333844:335304, ack 2854, win 64240, length 1460
20:43:11.390835 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 335304, win 64240, length 0
20:43:11.391283 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 335304:336764, ack 2854, win 64240, length 1460
20:43:11.391918 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 336764:338224, ack 2854, win 64240, length 1460
20:43:11.392028 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 338224, win 64240, length 0
20:43:11.392410 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 338224:339684, ack 2854, win 64240, length 1460
20:43:11.392860 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 339684:341144, ack 2854, win 64240, length 1460
20:43:11.392958 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 341144, win 64240, length 0
20:43:11.393328 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 341144:342604, ack 2854, win 64240, length 1460
20:43:11.393924 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 342604:344064, ack 2854, win 64240, length 1460
20:43:11.394078 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 344064, win 64240, length 0
20:43:11.394283 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 344064:345524, ack 2854, win 64240, length 1460
20:43:11.394549 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 345524:346984, ack 2854, win 64240, length 1460
20:43:11.394640 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 346984, win 64240, length 0
20:43:11.394874 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 346984:348444, ack 2854, win 64240, length 1460
20:43:11.395422 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 348444:349904, ack 2854, win 64240, length 1460
20:43:11.395532 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 349904, win 64240, length 0
20:43:11.395753 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 349904:351364, ack 2854, win 64240, length 1460
20:43:11.396060 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 351364:352824, ack 2854, win 64240, length 1460
20:43:11.396153 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 352824, win 64240, length 0
20:43:11.396376 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 352824:354284, ack 2854, win 64240, length 1460
20:43:11.396876 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 354284:355744, ack 2854, win 64240, length 1460
20:43:11.396979 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 355744, win 64240, length 0
20:43:11.397201 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 355744:357204, ack 2854, win 64240, length 1460
20:43:11.397516 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 357204:358664, ack 2854, win 64240, length 1460
20:43:11.397630 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 358664, win 61320, length 0
20:43:11.397817 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 358664, win 64240, length 0
20:43:11.397851 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 358664:360124, ack 2854, win 64240, length 1460
20:43:11.398326 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 360124:361584, ack 2854, win 64240, length 1460
20:43:11.398435 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 361584, win 64240, length 0
20:43:11.398657 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 361584:363044, ack 2854, win 64240, length 1460
20:43:11.398962 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 363044:364504, ack 2854, win 64240, length 1460
20:43:11.399064 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 364504, win 64240, length 0
20:43:11.399349 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 364504:365964, ack 2854, win 64240, length 1460
20:43:11.400114 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 365964:367424, ack 2854, win 64240, length 1460
20:43:11.400221 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 367424, win 64240, length 0
20:43:11.400441 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 367424:368884, ack 2854, win 64240, length 1460
20:43:11.400739 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 368884:370344, ack 2854, win 64240, length 1460
20:43:11.400845 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 370344, win 64240, length 0
20:43:11.401128 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 370344:371804, ack 2854, win 64240, length 1460
20:43:11.401545 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [P.], seq 371804:373421, ack 2854, win 64240, length 1617
20:43:11.401663 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [.], ack 373264, win 64240, length 0
20:43:11.402165 IP 192.168.223.130.63987 > 192.168.223.128.8009: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:11.402207 IP 192.168.223.130.63987 > 192.168.223.129.8009: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:11.402264 IP 192.168.223.130.63987 > 192.168.223.254.klogin: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:11.402299 IP 192.168.223.130.63986 > 192.168.223.254.aol: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.402346 IP 192.168.223.129.8009 > 192.168.223.130.63987: Flags [S.], seq 2435901768, ack 2465819369, win 5840, options [mss 1460], length 0
20:43:11.402436 IP 192.168.223.130.63987 > 192.168.223.129.8009: Flags [R], seq 2465819369, win 0, length 0
20:43:11.414390 IP 192.168.223.128.1107 > 204.79.197.200.http: Flags [P.], seq 2763:3504, ack 16435, win 64240, length 741
20:43:11.414474 IP 192.168.223.128.8009 > 192.168.223.130.63987: Flags [R.], seq 0, ack 2465819369, win 0, length 0
20:43:11.414756 IP 204.79.197.200.http > 192.168.223.128.1107: Flags [.], ack 3504, win 64240, length 0
20:43:11.414998 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [P.], seq 2854:3595, ack 373421, win 64083, length 741
20:43:11.415129 IP 192.168.223.128.1107 > 204.79.197.200.http: Flags [R], seq 3184134495, win 0, length 0
20:43:11.415172 IP 204.79.197.200.http > 192.168.223.128.1105: Flags [.], ack 3595, win 64240, length 0
20:43:11.415876 IP 192.168.223.128.1108 > 204.79.197.200.http: Flags [S], seq 3185089785, win 64240, options [mss 1460,nop,nop,sackOK], length 0
20:43:11.416030 IP 192.168.223.128.1105 > 204.79.197.200.http: Flags [R], seq 3184043576, win 0, length 0
20:43:11.416747 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [S], seq 3185142278, win 64240, options [mss 1460,nop,nop,sackOK], length 0
20:43:11.435608 IP 192.168.223.128.1110 > 204.79.197.200.http: Flags [S], seq 3185184005, win 64240, options [mss 1460,nop,nop,sackOK], length 0
20:43:11.450444 IP 204.79.197.200.http > 192.168.223.128.1108: Flags [S.], seq 109513847, ack 3185089786, win 64240, options [mss 1460], length 0
20:43:11.450496 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [S.], seq 1929910821, ack 3185142279, win 64240, options [mss 1460], length 0
20:43:11.450601 IP 192.168.223.128.1108 > 204.79.197.200.http: Flags [R], seq 3185089786, win 0, length 0
20:43:11.450647 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
20:43:11.451011 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [P.], seq 1:742, ack 1, win 64240, length 741
20:43:11.451170 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [.], ack 742, win 64240, length 0
20:43:11.505508 IP 192.168.223.130.63987 > 192.168.223.254.aol: Flags [S], seq 2465819368, win 1024, options [mss 1460], length 0
20:43:11.505610 IP 192.168.223.130.63986 > 192.168.223.128.enbd-cstatd: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.505648 IP 192.168.223.130.63986 > 192.168.223.129.enbd-cstatd: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.505691 IP 192.168.223.130.63986 > 192.168.223.254.1900: Flags [S], seq 2465753833, win 1024, options [mss 1460], length 0
20:43:11.505893 IP 192.168.223.128.enbd-cstatd > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:11.505929 IP 192.168.223.129.enbd-cstatd > 192.168.223.130.63986: Flags [R.], seq 0, ack 2465753834, win 0, length 0
20:43:11.590360 IP 204.79.197.200.http > 192.168.223.128.1110: Flags [S.], seq 143750517, ack 3185184006, win 64240, options [mss 1460], length 0
20:43:11.590592 IP 192.168.223.128.1110 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
20:43:11.590652 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 1:2921, ack 742, win 64240, length 2920
20:43:11.590839 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [.], ack 2921, win 64240, length 0
20:43:11.590901 IP 192.168.223.128.1110 > 204.79.197.200.http: Flags [P.], seq 1:844, ack 1, win 64240, length 843
20:43:11.591055 IP 204.79.197.200.http > 192.168.223.128.1110: Flags [.], ack 844, win 64240, length 0
20:43:11.591598 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 2921:4381, ack 742, win 64240, length 1460
20:43:11.592198 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 4381:5841, ack 742, win 64240, length 1460
20:43:11.592317 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [.], ack 5841, win 64240, length 0
20:43:11.592915 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 5841:7301, ack 742, win 64240, length 1460
20:43:11.593511 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 7301:8761, ack 742, win 64240, length 1460
20:43:11.593631 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [.], ack 8761, win 64240, length 0
20:43:11.594063 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 8761:10221, ack 742, win 64240, length 1460
20:43:11.594616 IP 204.79.197.200.http > 192.168.223.128.kpop: Flags [P.], seq 10221:11681, ack 742, win 64240, length 1460
20:43:11.594725 IP 192.168.223.128.kpop > 204.79.197.200.http: Flags [.], ack 11681, win 64240, length 0
